period,period_type,measure,value,change_from_previous,source_series
1996 DEC,months,CPIH annual inflation rate,2.8,-0.3,L55O
1997 JAN,months,CPIH annual inflation rate,2.6,-0.2,L55O
1997 FEB,months,CPIH annual inflation rate,2.4,-0.2,L55O
1997 MAR,months,CPIH annual inflation rate,2.2,-0.2,L55O
1997 APR,months,CPIH annual inflation rate,2.1,-0.1,L55O
1997 MAY,months,CPIH annual inflation rate,2.1,0.0,L55O
1997 JUN,months,CPIH annual inflation rate,2.1,0.0,L55O
1997 JUL,months,CPIH annual inflation rate,2.4,0.3,L55O
1997 AUG,months,CPIH annual inflation rate,2.3,-0.1,L55O
1997 SEP,months,CPIH annual inflation rate,2.2,-0.1,L55O
1997 OCT,months,CPIH annual inflation rate,2.2,0.0,L55O
1997 NOV,months,CPIH annual inflation rate,2.1,-0.1,L55O
1997 DEC,months,CPIH annual inflation rate,1.9,-0.2,L55O
1998 JAN,months,CPIH annual inflation rate,1.8,-0.1,L55O
1998 FEB,months,CPIH annual inflation rate,1.8,0.0,L55O
1998 MAR,months,CPIH annual inflation rate,1.9,0.1,L55O
1998 APR,months,CPIH annual inflation rate,2.1,0.2,L55O
1998 MAY,months,CPIH annual inflation rate,2.2,0.1,L55O
1998 JUN,months,CPIH annual inflation rate,1.9,-0.3,L55O
1998 JUL,months,CPIH annual inflation rate,1.7,-0.2,L55O
1998 AUG,months,CPIH annual inflation rate,1.6,-0.1,L55O
1998 SEP,months,CPIH annual inflation rate,1.7,0.1,L55O
1998 OCT,months,CPIH annual inflation rate,1.6,-0.1,L55O
1998 NOV,months,CPIH annual inflation rate,1.7,0.1,L55O
1998 DEC,months,CPIH annual inflation rate,1.9,0.2,L55O
1999 JAN,months,CPIH annual inflation rate,2.0,0.1,L55O
1999 FEB,months,CPIH annual inflation rate,1.9,-0.1,L55O
1999 MAR,months,CPIH annual inflation rate,2.1,0.2,L55O
1999 APR,months,CPIH annual inflation rate,2.0,-0.1,L55O
1999 MAY,months,CPIH annual inflation rate,1.7,-0.3,L55O
1999 JUN,months,CPIH annual inflation rate,1.8,0.1,L55O
1999 JUL,months,CPIH annual inflation rate,1.7,-0.1,L55O
1999 AUG,months,CPIH annual inflation rate,1.6,-0.1,L55O
1999 SEP,months,CPIH annual inflation rate,1.6,0.0,L55O
1999 OCT,months,CPIH annual inflation rate,1.5,-0.1,L55O
1999 NOV,months,CPIH annual inflation rate,1.5,0.0,L55O
1999 DEC,months,CPIH annual inflation rate,1.5,0.0,L55O
2000 JAN,months,CPIH annual inflation rate,1.2,-0.3,L55O
2000 FEB,months,CPIH annual inflation rate,1.2,0.0,L55O
2000 MAR,months,CPIH annual inflation rate,1.0,-0.2,L55O
2000 APR,months,CPIH annual inflation rate,0.9,-0.1,L55O
2000 MAY,months,CPIH annual inflation rate,1.0,0.1,L55O
2000 JUN,months,CPIH annual inflation rate,1.2,0.2,L55O
2000 JUL,months,CPIH annual inflation rate,1.2,0.0,L55O
2000 AUG,months,CPIH annual inflation rate,1.0,-0.2,L55O
2000 SEP,months,CPIH annual inflation rate,1.3,0.3,L55O
2000 OCT,months,CPIH annual inflation rate,1.4,0.1,L55O
2000 NOV,months,CPIH annual inflation rate,1.5,0.1,L55O
2000 DEC,months,CPIH annual inflation rate,1.2,-0.3,L55O
2001 JAN,months,CPIH annual inflation rate,1.2,0.0,L55O
2001 FEB,months,CPIH annual inflation rate,1.2,0.0,L55O
2001 MAR,months,CPIH annual inflation rate,1.3,0.1,L55O
2001 APR,months,CPIH annual inflation rate,1.5,0.2,L55O
2001 MAY,months,CPIH annual inflation rate,1.9,0.4,L55O
2001 JUN,months,CPIH annual inflation rate,1.9,0.0,L55O
2001 JUL,months,CPIH annual inflation rate,1.7,-0.2,L55O
2001 AUG,months,CPIH annual inflation rate,2.1,0.4,L55O
2001 SEP,months,CPIH annual inflation rate,1.7,-0.4,L55O
2001 OCT,months,CPIH annual inflation rate,1.6,-0.1,L55O
2001 NOV,months,CPIH annual inflation rate,1.2,-0.4,L55O
2001 DEC,months,CPIH annual inflation rate,1.4,0.2,L55O
2002 JAN,months,CPIH annual inflation rate,1.8,0.4,L55O
2002 FEB,months,CPIH annual inflation rate,1.7,-0.1,L55O
2002 MAR,months,CPIH annual inflation rate,1.7,0.0,L55O
2002 APR,months,CPIH annual inflation rate,1.6,-0.1,L55O
2002 MAY,months,CPIH annual inflation rate,1.2,-0.4,L55O
2002 JUN,months,CPIH annual inflation rate,1.1,-0.1,L55O
2002 JUL,months,CPIH annual inflation rate,1.4,0.3,L55O
2002 AUG,months,CPIH annual inflation rate,1.3,-0.1,L55O
2002 SEP,months,CPIH annual inflation rate,1.2,-0.1,L55O
2002 OCT,months,CPIH annual inflation rate,1.5,0.3,L55O
2002 NOV,months,CPIH annual inflation rate,1.6,0.1,L55O
2002 DEC,months,CPIH annual inflation rate,1.7,0.1,L55O
2003 JAN,months,CPIH annual inflation rate,1.4,-0.3,L55O
2003 FEB,months,CPIH annual inflation rate,1.6,0.2,L55O
2003 MAR,months,CPIH annual inflation rate,1.6,0.0,L55O
2003 APR,months,CPIH annual inflation rate,1.5,-0.1,L55O
2003 MAY,months,CPIH annual inflation rate,1.3,-0.2,L55O
2003 JUN,months,CPIH annual inflation rate,1.2,-0.1,L55O
2003 JUL,months,CPIH annual inflation rate,1.3,0.1,L55O
2003 AUG,months,CPIH annual inflation rate,1.4,0.1,L55O
2003 SEP,months,CPIH annual inflation rate,1.3,-0.1,L55O
2003 OCT,months,CPIH annual inflation rate,1.3,0.0,L55O
2003 NOV,months,CPIH annual inflation rate,1.3,0.0,L55O
2003 DEC,months,CPIH annual inflation rate,1.3,0.0,L55O
2004 JAN,months,CPIH annual inflation rate,1.5,0.2,L55O
2004 FEB,months,CPIH annual inflation rate,1.4,-0.1,L55O
2004 MAR,months,CPIH annual inflation rate,1.2,-0.2,L55O
2004 APR,months,CPIH annual inflation rate,1.1,-0.1,L55O
2004 MAY,months,CPIH annual inflation rate,1.4,0.3,L55O
2004 JUN,months,CPIH annual inflation rate,1.5,0.1,L55O
2004 JUL,months,CPIH annual inflation rate,1.4,-0.1,L55O
2004 AUG,months,CPIH annual inflation rate,1.4,0.0,L55O
2004 SEP,months,CPIH annual inflation rate,1.2,-0.2,L55O
2004 OCT,months,CPIH annual inflation rate,1.3,0.1,L55O
2004 NOV,months,CPIH annual inflation rate,1.5,0.2,L55O
2004 DEC,months,CPIH annual inflation rate,1.8,0.3,L55O
2005 JAN,months,CPIH annual inflation rate,1.7,-0.1,L55O
2005 FEB,months,CPIH annual inflation rate,1.7,0.0,L55O
2005 MAR,months,CPIH annual inflation rate,2.0,0.3,L55O
2005 APR,months,CPIH annual inflation rate,1.9,-0.1,L55O
2005 MAY,months,CPIH annual inflation rate,1.9,0.0,L55O
2005 JUN,months,CPIH annual inflation rate,2.0,0.1,L55O
2005 JUL,months,CPIH annual inflation rate,2.3,0.3,L55O
2005 AUG,months,CPIH annual inflation rate,2.4,0.1,L55O
2005 SEP,months,CPIH annual inflation rate,2.5,0.1,L55O
2005 OCT,months,CPIH annual inflation rate,2.4,-0.1,L55O
2005 NOV,months,CPIH annual inflation rate,2.2,-0.2,L55O
2005 DEC,months,CPIH annual inflation rate,2.1,-0.1,L55O
2006 JAN,months,CPIH annual inflation rate,2.2,0.1,L55O
2006 FEB,months,CPIH annual inflation rate,2.2,0.0,L55O
2006 MAR,months,CPIH annual inflation rate,2.0,-0.2,L55O
2006 APR,months,CPIH annual inflation rate,2.2,0.2,L55O
2006 MAY,months,CPIH annual inflation rate,2.4,0.2,L55O
2006 JUN,months,CPIH annual inflation rate,2.6,0.2,L55O
2006 JUL,months,CPIH annual inflation rate,2.5,-0.1,L55O
2006 AUG,months,CPIH annual inflation rate,2.6,0.1,L55O
2006 SEP,months,CPIH annual inflation rate,2.5,-0.1,L55O
2006 OCT,months,CPIH annual inflation rate,2.5,0.0,L55O
2006 NOV,months,CPIH annual inflation rate,2.8,0.3,L55O
2006 DEC,months,CPIH annual inflation rate,2.9,0.1,L55O
2007 JAN,months,CPIH annual inflation rate,2.7,-0.2,L55O
2007 FEB,months,CPIH annual inflation rate,2.7,0.0,L55O
2007 MAR,months,CPIH annual inflation rate,2.9,0.2,L55O
2007 APR,months,CPIH annual inflation rate,2.7,-0.2,L55O
2007 MAY,months,CPIH annual inflation rate,2.5,-0.2,L55O
2007 JUN,months,CPIH annual inflation rate,2.5,0.0,L55O
2007 JUL,months,CPIH annual inflation rate,2.0,-0.5,L55O
2007 AUG,months,CPIH annual inflation rate,2.0,0.0,L55O
2007 SEP,months,CPIH annual inflation rate,2.0,0.0,L55O
2007 OCT,months,CPIH annual inflation rate,2.3,0.3,L55O
2007 NOV,months,CPIH annual inflation rate,2.2,-0.1,L55O
2007 DEC,months,CPIH annual inflation rate,2.3,0.1,L55O
2008 JAN,months,CPIH annual inflation rate,2.4,0.1,L55O
2008 FEB,months,CPIH annual inflation rate,2.6,0.2,L55O
2008 MAR,months,CPIH annual inflation rate,2.6,0.0,L55O
2008 APR,months,CPIH annual inflation rate,3.0,0.4,L55O
2008 MAY,months,CPIH annual inflation rate,3.3,0.3,L55O
2008 JUN,months,CPIH annual inflation rate,3.7,0.4,L55O
2008 JUL,months,CPIH annual inflation rate,4.2,0.5,L55O
2008 AUG,months,CPIH annual inflation rate,4.4,0.2,L55O
2008 SEP,months,CPIH annual inflation rate,4.8,0.4,L55O
2008 OCT,months,CPIH annual inflation rate,4.2,-0.6,L55O
2008 NOV,months,CPIH annual inflation rate,3.8,-0.4,L55O
2008 DEC,months,CPIH annual inflation rate,3.0,-0.8,L55O
2009 JAN,months,CPIH annual inflation rate,2.9,-0.1,L55O
2009 FEB,months,CPIH annual inflation rate,3.1,0.2,L55O
2009 MAR,months,CPIH annual inflation rate,2.8,-0.3,L55O
2009 APR,months,CPIH annual inflation rate,2.3,-0.5,L55O
2009 MAY,months,CPIH annual inflation rate,2.1,-0.2,L55O
2009 JUN,months,CPIH annual inflation rate,1.7,-0.4,L55O
2009 JUL,months,CPIH annual inflation rate,1.6,-0.1,L55O
2009 AUG,months,CPIH annual inflation rate,1.4,-0.2,L55O
2009 SEP,months,CPIH annual inflation rate,1.0,-0.4,L55O
2009 OCT,months,CPIH annual inflation rate,1.2,0.2,L55O
2009 NOV,months,CPIH annual inflation rate,1.5,0.3,L55O
2009 DEC,months,CPIH annual inflation rate,2.1,0.6,L55O
2010 JAN,months,CPIH annual inflation rate,2.6,0.5,L55O
2010 FEB,months,CPIH annual inflation rate,2.1,-0.5,L55O
2010 MAR,months,CPIH annual inflation rate,2.4,0.3,L55O
2010 APR,months,CPIH annual inflation rate,2.7,0.3,L55O
2010 MAY,months,CPIH annual inflation rate,2.5,-0.2,L55O
2010 JUN,months,CPIH annual inflation rate,2.4,-0.1,L55O
2010 JUL,months,CPIH annual inflation rate,2.3,-0.1,L55O
2010 AUG,months,CPIH annual inflation rate,2.4,0.1,L55O
2010 SEP,months,CPIH annual inflation rate,2.4,0.0,L55O
2010 OCT,months,CPIH annual inflation rate,2.5,0.1,L55O
2010 NOV,months,CPIH annual inflation rate,2.6,0.1,L55O
2010 DEC,months,CPIH annual inflation rate,3.1,0.5,L55O
2011 JAN,months,CPIH annual inflation rate,3.4,0.3,L55O
2011 FEB,months,CPIH annual inflation rate,3.7,0.3,L55O
2011 MAR,months,CPIH annual inflation rate,3.5,-0.2,L55O
2011 APR,months,CPIH annual inflation rate,3.8,0.3,L55O
2011 MAY,months,CPIH annual inflation rate,3.8,0.0,L55O
2011 JUN,months,CPIH annual inflation rate,3.6,-0.2,L55O
2011 JUL,months,CPIH annual inflation rate,3.8,0.2,L55O
2011 AUG,months,CPIH annual inflation rate,3.9,0.1,L55O
2011 SEP,months,CPIH annual inflation rate,4.5,0.6,L55O
2011 OCT,months,CPIH annual inflation rate,4.3,-0.2,L55O
2011 NOV,months,CPIH annual inflation rate,4.1,-0.2,L55O
2011 DEC,months,CPIH annual inflation rate,3.7,-0.4,L55O
2012 JAN,months,CPIH annual inflation rate,3.2,-0.5,L55O
2012 FEB,months,CPIH annual inflation rate,3.1,-0.1,L55O
2012 MAR,months,CPIH annual inflation rate,3.1,0.0,L55O
2012 APR,months,CPIH annual inflation rate,2.8,-0.3,L55O
2012 MAY,months,CPIH annual inflation rate,2.5,-0.3,L55O
2012 JUN,months,CPIH annual inflation rate,2.3,-0.2,L55O
2012 JUL,months,CPIH annual inflation rate,2.4,0.1,L55O
2012 AUG,months,CPIH annual inflation rate,2.3,-0.1,L55O
2012 SEP,months,CPIH annual inflation rate,2.1,-0.2,L55O
2012 OCT,months,CPIH annual inflation rate,2.4,0.3,L55O
