period,period_type,measure,value,change_from_previous,source_series
2023 OCT,months,CPIH annual inflation rate,4.7,-1.6,L55O
2023 NOV,months,CPIH annual inflation rate,4.2,-0.5,L55O
2023 DEC,months,CPIH annual inflation rate,4.2,0.0,L55O
2024 JAN,months,CPIH annual inflation rate,4.2,0.0,L55O
2024 FEB,months,CPIH annual inflation rate,3.8,-0.4,L55O
2024 MAR,months,CPIH annual inflation rate,3.8,0.0,L55O
2024 APR,months,CPIH annual inflation rate,3.0,-0.8,L55O
2024 MAY,months,CPIH annual inflation rate,2.8,-0.2,L55O
2024 JUN,months,CPIH annual inflation rate,2.8,0.0,L55O
2024 JUL,months,CPIH annual inflation rate,3.1,0.3,L55O
2024 AUG,months,CPIH annual inflation rate,3.1,0.0,L55O
2024 SEP,months,CPIH annual inflation rate,2.6,-0.5,L55O
2024 OCT,months,CPIH annual inflation rate,3.2,0.6,L55O
2024 NOV,months,CPIH annual inflation rate,3.5,0.3,L55O
2024 DEC,months,CPIH annual inflation rate,3.5,0.0,L55O
2025 JAN,months,CPIH annual inflation rate,3.9,0.4,L55O
2025 FEB,months,CPIH annual inflation rate,3.7,-0.2,L55O
2025 MAR,months,CPIH annual inflation rate,3.4,-0.3,L55O
2025 APR,months,CPIH annual inflation rate,4.1,0.7,L55O
2025 MAY,months,CPIH annual inflation rate,4.0,-0.1,L55O
2025 JUN,months,CPIH annual inflation rate,4.1,0.1,L55O
2025 JUL,months,CPIH annual inflation rate,4.2,0.1,L55O
2025 AUG,months,CPIH annual inflation rate,4.1,-0.1,L55O
2025 SEP,months,CPIH annual inflation rate,4.1,0.0,L55O
2025 OCT,months,CPIH annual inflation rate,3.8,-0.3,L55O
2025 NOV,months,CPIH annual inflation rate,3.5,-0.3,L55O
2025 DEC,months,CPIH annual inflation rate,3.6,0.1,L55O
2026 JAN,months,CPIH annual inflation rate,3.2,-0.4,L55O
2026 FEB,months,CPIH annual inflation rate,3.2,0.0,L55O
2026 MAR,months,CPIH annual inflation rate,3.4,0.2,L55O
