year,median_house_price,median_annual_pay,affordability_ratio
2015,185000.0,21849.0,8.785
2016,207472.5,22520.5,9.51
2017,215000.0,23015.0,9.78
2018,235000.0,23208.0,10.235
2019,230000.0,24120.0,9.89
2020,240000.0,25071.0,9.84
2021,271250.0,25424.5,10.705
